ID_DOACAO;CPF_DOADOR;ID_PROJETO;VALOR_DOACAO;DATA_DOACAO
1;19890783037;1;235,00;2023-07-01
2;94738094092;3;400,00;2023-07-01
3;00389303232;3;50,00;2023-07-04
4;00149268149;1;150,00;2023-07-05
5;04514572934;1;320,00;2023-07-08
6;04640614829;3;100,00;2023-07-12
7;06695891281;3;500,00;2023-07-15
8;10955000157;1;75,00;2023-07-19
9;14198040222;3;330,00;2023-07-23
10;19397194372;2;280,00;2023-07-27
11;31009743287;2;390,00;2023-07-30
12;39951268390;3;500,00;2023-08-03
13;00149268149;1;150,00;2023-08-05
14;41133598064;2;165,00;2023-08-07
15;54625779669;3;290,00;2023-08-11
16;19397194372;3;400,00;2023-08-14
17;57743059022;2;515,00;2023-08-18
18;61447971817;3;360,00;2023-08-22
19;58378705200;1;170,00;2023-08-26
20;68155476987;2;290,00;2023-08-29
21;71206861606;1;400,00;2023-09-02
22;00149268149;1;150,00;2023-09-05
23;71020359854;3;515,00;2023-09-06
24;71400485410;2;10,00;2023-09-09
25;73077544105;2;370,00;2023-09-13
26;75009824612;1;190,00;2023-09-17
27;80470013702;3;300,00;2023-09-21
28;82171979380;3;415,00;2023-09-24
29;84715279878;2;125,00;2023-09-28
30;71020359854;1;515,00;2023-09-30
31;93776230495;1;350,00;2023-10-02
32;00149268149;1;150,00;2023-10-05
33;91817940104;1;180,00;2023-10-06
34;88062771890;3;295,00;2023-10-09
35;93313176038;2;400,00;2023-10-13
36;93073046968;2;515,00;2023-10-17
37;96020476316;1;140,00;2023-10-21
38;94738094092;3;370,00;2023-10-24
39;77895512641;3;190,00;2023-10-28
40;61935093720;2;300,00;2023-11-01
41;51993637605;1;420,00;2023-11-04
42;00149268149;1;150,00;2023-11-05
43;50483251844;1;120,00;2023-11-08
44;39952841248;3;360,00;2023-11-12
45;35080105380;2;180,00;2023-11-16
46;25374867652;3;300,00;2023-11-19
47;33657421661;1;400,00;2023-11-23
48;17051298542;2;520,00;2023-11-27
49;09738249996;2;140,00;2023-12-01
50;84715279878;3;370,00;2023-12-04
51;00149268149;1;150,00;2023-12-05
52;71206861606;1;80,00;2023-12-08
53;57743059022;3;300,00;2023-12-12
54;50483251844;1;415,00;2023-12-16
55;31009743287;2;130,00;2023-12-19
56;17198479596;1;3000,00;2023-12-20
57;19890783037;1;360,00;2023-12-23
58;06695891281;2;90,00;2023-12-27
59;68155476987;3;300,00;2023-12-31
60;88062771890;3;30,00;2023-12-31
